?s	?p	?o
<urn:rdf4j:triple:PDw8aHR0cDovL2tnYy5rbm93bGVkZ2UtZ3JhcGguanAvZGF0YS9EYW5jaW5nTWVuL0NoYXJhY3Rvcl9DMT4gPGh0dHA6Ly9rZ2Mua25vd2xlZGdlLWdyYXBoLmpwL2RhdGEvcHJlZGljYXRlL2VxdWFsVG8-IDxodHRwOi8va2djLmtub3dsZWRnZS1ncmFwaC5qcC9kYXRhL0RhbmNpbmdNZW4vMDBBPj4->	<http://kgc.knowledge-graph.jp/ontology/kgc.owl#because>	<urn:rdf4j:triple:PDw8aHR0cDovL2tnYy5rbm93bGVkZ2UtZ3JhcGguanAvZGF0YS9EYW5jaW5nTWVuL1NlbnRlbmNlX0g-IDxodHRwOi8va2djLmtub3dsZWRnZS1ncmFwaC5qcC9kYXRhL3ByZWRpY2F0ZS9zaG9ydD4gPGh0dHA6Ly93d3cudzMub3JnLzIwMDIvMDcvb3dsI05vdGhpbmc-Pj4=>
<urn:rdf4j:triple:PDw8aHR0cDovL3d3dy53My5vcmcvMjAwMi8wNy9vd2wjTm90aGluZz4gPGh0dHA6Ly93d3cudzMub3JnLzIwMDIvMDcvb3dsI1RvcE9iamVjdFByb3BlcnR5PiA8aHR0cDovL2tnYy5rbm93bGVkZ2UtZ3JhcGguanAvZGF0YS9BQ2FzZU9mSWRlbnRpdHkvRW5nbGFuZD4-Pg==>	<http://kgc.knowledge-graph.jp/ontology/kgc.owl#type>	<http://kgc.knowledge-graph.jp/ontology/kgc.owl#Situation>
<urn:rdf4j:triple:PDw8aHR0cDovL2tnYy5rbm93bGVkZ2UtZ3JhcGguanAvZGF0YS9BYmJleUdyYW5nZS9MYWR5X0JyYWNrZW5zdGFsbD4gPGh0dHA6Ly9rZ2Mua25vd2xlZGdlLWdyYXBoLmpwL2RhdGEvcHJlZGljYXRlL3NjcmVhbT4gPGh0dHA6Ly93d3cudzMub3JnLzIwMDIvMDcvb3dsI05vdGhpbmc-Pj4=>	<http://kgc.knowledge-graph.jp/ontology/kgc.owl#then>	<urn:rdf4j:triple:PDw8aHR0cDovL2tnYy5rbm93bGVkZ2UtZ3JhcGguanAvZGF0YS9BYmJleUdyYW5nZS9UaGVyZXNhPiA8aHR0cDovL2tnYy5rbm93bGVkZ2UtZ3JhcGguanAvZGF0YS9wcmVkaWNhdGUvaGVhcj4gPGh0dHA6Ly9rZ2Mua25vd2xlZGdlLWdyYXBoLmpwL2RhdGEvQWJiZXlHcmFuZ2UvU2NyZWFtc19vZl9MYWR5X0JyYWNrZW5zdGFsbD4-Pg==>
<urn:rdf4j:triple:PDw8aHR0cDovL2tnYy5rbm93bGVkZ2UtZ3JhcGguanAvZGF0YS9EZXZpbHNGb290L0Nhc2VfMT4gPGh0dHA6Ly9rZ2Mua25vd2xlZGdlLWdyYXBoLmpwL2RhdGEvcHJlZGljYXRlL3RyYWdpYz4gPGh0dHA6Ly93d3cudzMub3JnLzIwMDIvMDcvb3dsI05vdGhpbmc-Pj4=>	<http://kgc.knowledge-graph.jp/ontology/kgc.owl#type>	<http://kgc.knowledge-graph.jp/ontology/kgc.owl#Statement>
<http://kgc.knowledge-graph.jp/data/ResidentPatient/Consultation_of_Blessington>	<http://kgc.knowledge-graph.jp/ontology/kgc.owl#ofWhole>	<http://kgc.knowledge-graph.jp/data/ResidentPatient/Blessington>
<urn:rdf4j:triple:PDw8aHR0cDovL2tnYy5rbm93bGVkZ2UtZ3JhcGguanAvZGF0YS9TcGVja2xlZEJhbmQvV2F0c29uPiA8aHR0cDovL2tnYy5rbm93bGVkZ2UtZ3JhcGguanAvZGF0YS9wcmVkaWNhdGUvZ28-IDxodHRwOi8va2djLmtub3dsZWRnZS1ncmFwaC5qcC9kYXRhL1NwZWNrbGVkQmFuZC9Sb3lsb3R0Pj4->	<http://kgc.knowledge-graph.jp/ontology/kgc.owl#then>	<urn:rdf4j:triple:PDw8aHR0cDovL2tnYy5rbm93bGVkZ2UtZ3JhcGguanAvZGF0YS9TcGVja2xlZEJhbmQvc25ha2U-IDxodHRwOi8va2djLmtub3dsZWRnZS1ncmFwaC5qcC9kYXRhL3ByZWRpY2F0ZS9zZWU-IDxodHRwOi8va2djLmtub3dsZWRnZS1ncmFwaC5qcC9kYXRhL1NwZWNrbGVkQmFuZC9XYXRzb24-Pj4=>
<http://kgc.knowledge-graph.jp/data/ACaseOfIdentity/characteristics_of_type>	<http://kgc.knowledge-graph.jp/ontology/kgc.owl#ofPart>	<http://kgc.knowledge-graph.jp/data/ACaseOfIdentity/characteristics>
<http://kgc.knowledge-graph.jp/data/CrookedMan/Morrison>	<http://kgc.knowledge-graph.jp/data/predicate/go>	<http://kgc.knowledge-graph.jp/data/CrookedMan/meeting_of_the_St._George_union>
<urn:rdf4j:triple:PDw8aHR0cDovL2tnYy5rbm93bGVkZ2UtZ3JhcGguanAvZGF0YS9BYmJleUdyYW5nZS9KYWNrX0Nyb2NrZXI-IDxodHRwOi8va2djLmtub3dsZWRnZS1ncmFwaC5qcC9kYXRhL3ByZWRpY2F0ZS9kYW5nZXJvdXM-IDxodHRwOi8vd3d3LnczLm9yZy8yMDAyLzA3L293bCNOb3RoaW5nPj4->	<http://kgc.knowledge-graph.jp/ontology/kgc.owl#type>	<http://kgc.knowledge-graph.jp/ontology/kgc.owl#Statement>
<http://kgc.knowledge-graph.jp/data/ResidentPatient/Young_man>	<http://kgc.knowledge-graph.jp/data/predicate/notice>	<urn:rdf4j:triple:PDw8aHR0cDovL2tnYy5rbm93bGVkZ2UtZ3JhcGguanAvZGF0YS9SZXNpZGVudFBhdGllbnQvRG9vcl9vZl9CbGVzc2luZ3Rvbl9yb29tPiA8aHR0cDovL2tnYy5rbm93bGVkZ2UtZ3JhcGguanAvZGF0YS9wcmVkaWNhdGUvYmVMb2NrZWQ-IDxodHRwOi8vd3d3LnczLm9yZy8yMDAyLzA3L293bCNOb3RoaW5nPj4->
<http://kgc.knowledge-graph.jp/data/DancingMen/Elsie>	<http://kgc.knowledge-graph.jp/data/predicate/say>	<urn:rdf4j:triple:PDw8aHR0cDovL2tnYy5rbm93bGVkZ2UtZ3JhcGguanAvZGF0YS9EYW5jaW5nTWVuL0Vsc2llPiA8aHR0cDovL2tnYy5rbm93bGVkZ2UtZ3JhcGguanAvZGF0YS9wcmVkaWNhdGUvZ2V0T3V0PiA8aHR0cDovL2tnYy5rbm93bGVkZ2UtZ3JhcGguanAvZGF0YS9EYW5jaW5nTWVuL3dpbmRvd19vZl9zdHVkeV9yb29tPj4->
<urn:rdf4j:triple:PDw8aHR0cDovL2tnYy5rbm93bGVkZ2UtZ3JhcGguanAvZGF0YS9BQ2FzZU9mSWRlbnRpdHkvV2luZHliYW5rPiA8aHR0cDovL2tnYy5rbm93bGVkZ2UtZ3JhcGguanAvZGF0YS9wcmVkaWNhdGUvcHV0PiA8aHR0cDovL2tnYy5rbm93bGVkZ2UtZ3JhcGguanAvZGF0YS9BQ2FzZU9mSWRlbnRpdHkvQm93bGVyX2hhdD4-Pg==>	<http://kgc.knowledge-graph.jp/ontology/kgc.owl#where>	<http://kgc.knowledge-graph.jp/data/ACaseOfIdentity/Horizontal_shelf>
<urn:rdf4j:triple:PDw8aHR0cDovL2tnYy5rbm93bGVkZ2UtZ3JhcGguanAvZGF0YS9TaWx2ZXJCbGF6ZS9GaXR6cm95X1NpbXBzb24-IDxodHRwOi8va2djLmtub3dsZWRnZS1ncmFwaC5qcC9kYXRhL3ByZWRpY2F0ZS9oaWRlPiA8aHR0cDovL2tnYy5rbm93bGVkZ2UtZ3JhcGguanAvZGF0YS9TaWx2ZXJCbGF6ZS9TaWx2ZXJfQmxhemU-Pj4=>	<http://kgc.knowledge-graph.jp/ontology/kgc.owl#type>	<http://kgc.knowledge-graph.jp/ontology/kgc.owl#Situation>
<urn:rdf4j:triple:PDw8aHR0cDovL2tnYy5rbm93bGVkZ2UtZ3JhcGguanAvZGF0YS9TcGVja2xlZEJhbmQvSnVsaWE-IDxodHRwOi8va2djLmtub3dsZWRnZS1ncmFwaC5qcC9kYXRhL3ByZWRpY2F0ZS9leGlzdD4gPGh0dHA6Ly9rZ2Mua25vd2xlZGdlLWdyYXBoLmpwL2RhdGEvU3BlY2tsZWRCYW5kL2JlZHJvb21fb2ZfSnVsaWE-Pj4=>	<http://kgc.knowledge-graph.jp/ontology/kgc.owl#how>	<http://kgc.knowledge-graph.jp/data/SpeckledBand/alone>
<urn:rdf4j:triple:PDw8aHR0cDovL2tnYy5rbm93bGVkZ2UtZ3JhcGguanAvZGF0YS9BQ2FzZU9mSWRlbnRpdHkvU3V0aGVybGFuZD4gPGh0dHA6Ly9rZ2Mua25vd2xlZGdlLWdyYXBoLmpwL2RhdGEvcHJlZGljYXRlL2JlV29ycmllZD4gPDw8aHR0cDovL2tnYy5rbm93bGVkZ2UtZ3JhcGguanAvZGF0YS9BQ2FzZU9mSWRlbnRpdHkvU3V0aGVybGFuZD4gPGh0dHA6Ly9rZ2Mua25vd2xlZGdlLWdyYXBoLmpwL2RhdGEvcHJlZGljYXRlL3dhbnRUb1RhbGs-IDxodHRwOi8va2djLmtub3dsZWRnZS1ncmFwaC5qcC9kYXRhL0FDYXNlT2ZJZGVudGl0eS9Tb21lb25lPj4-Pj4=>	<http://kgc.knowledge-graph.jp/ontology/kgc.owl#type>	<http://kgc.knowledge-graph.jp/ontology/kgc.owl#Statement>
<http://kgc.knowledge-graph.jp/data/CrookedMan/Royal_Mallows>	<http://kgc.knowledge-graph.jp/data/predicate/equalTo>	<http://kgc.knowledge-graph.jp/data/CrookedMan/one_of_the_Irish_regiments>
<http://kgc.knowledge-graph.jp/data/DevilsFoot/Doctor_Richard>	<http://kgc.knowledge-graph.jp/data/predicate/go>	<http://kgc.knowledge-graph.jp/data/DevilsFoot/Toridnik_Wasa>
<urn:rdf4j:triple:PDw8aHR0cDovL2tnYy5rbm93bGVkZ2UtZ3JhcGguanAvZGF0YS9BYmJleUdyYW5nZS9Ib2xtZXM-IDxodHRwOi8va2djLmtub3dsZWRnZS1ncmFwaC5qcC9kYXRhL3ByZWRpY2F0ZS90YWtlPiA8aHR0cDovL2tnYy5rbm93bGVkZ2UtZ3JhcGguanAvZGF0YS9BYmJleUdyYW5nZS9sZXR0ZXI-Pj4=>	<http://kgc.knowledge-graph.jp/ontology/kgc.owl#then>	<urn:rdf4j:triple:PDw8aHR0cDovL2tnYy5rbm93bGVkZ2UtZ3JhcGguanAvZGF0YS9BYmJleUdyYW5nZS9Ib2xtZXM-IDxodHRwOi8va2djLmtub3dsZWRnZS1ncmFwaC5qcC9kYXRhL3ByZWRpY2F0ZS9yZWFkX2Fsb3VkPiA8PDxodHRwOi8va2djLmtub3dsZWRnZS1ncmFwaC5qcC9kYXRhL0FiYmV5R3JhbmdlL2Nhc2U-IDxodHRwOi8va2djLmtub3dsZWRnZS1ncmFwaC5qcC9kYXRhL3ByZWRpY2F0ZS92ZXJzeV9zdXJwcmlzaW5nPiA8aHR0cDovL2tnYy5rbm93bGVkZ2UtZ3JhcGguanAvZGF0YS9BYmJleUdyYW5nZS9BYmJleV9tYW5zaW9uPj4-Pj4=>
<urn:rdf4j:triple:PDw8aHR0cDovL2tnYy5rbm93bGVkZ2UtZ3JhcGguanAvZGF0YS9TcGVja2xlZEJhbmQvSGVsZW4-IDxodHRwOi8va2djLmtub3dsZWRnZS1ncmFwaC5qcC9kYXRhL3ByZWRpY2F0ZS9ub3RTbGVlcD4gPGh0dHA6Ly93d3cudzMub3JnLzIwMDIvMDcvb3dsI05vdGhpbmc-Pj4=>	<http://kgc.knowledge-graph.jp/ontology/kgc.owl#then>	<http://kgc.knowledge-graph.jp/data/SpeckledBand/67>
<urn:rdf4j:triple:PDw8aHR0cDovL3d3dy53My5vcmcvMjAwMi8wNy9vd2wjTm90aGluZz4gPGh0dHA6Ly9rZ2Mua25vd2xlZGdlLWdyYXBoLmpwL2RhdGEvcHJlZGljYXRlL3B1dD4gPGh0dHA6Ly9rZ2Mua25vd2xlZGdlLWdyYXBoLmpwL2RhdGEvRGV2aWxzRm9vdC9EcnVnPj4->	<http://kgc.knowledge-graph.jp/ontology/kgc.owl#on>	<http://kgc.knowledge-graph.jp/data/DevilsFoot/lamp>
<http://kgc.knowledge-graph.jp/data/ResidentPatient/Consultation_of_Blessington>	<http://kgc.knowledge-graph.jp/ontology/kgc.owl#ofPart>	<http://kgc.knowledge-graph.jp/data/ResidentPatient/Consultation>
<urn:rdf4j:triple:PDw8aHR0cDovL2tnYy5rbm93bGVkZ2UtZ3JhcGguanAvZGF0YS9EYW5jaW5nTWVuL1dhdHNvbj4gPGh0dHA6Ly9rZ2Mua25vd2xlZGdlLWdyYXBoLmpwL2RhdGEvcHJlZGljYXRlL2NvbWU-IDxodHRwOi8va2djLmtub3dsZWRnZS1ncmFwaC5qcC9kYXRhL0RhbmNpbmdNZW4vTm9ydGhfV2Fsc2hhbT4-Pg==>	<http://kgc.knowledge-graph.jp/ontology/kgc.owl#type>	<http://kgc.knowledge-graph.jp/ontology/kgc.owl#Situation>
<http://kgc.knowledge-graph.jp/data/CrookedMan/Henry>	<http://kgc.knowledge-graph.jp/data/predicate/round>	<http://kgc.knowledge-graph.jp/data/CrookedMan/whole_body>
<urn:rdf4j:triple:PDw8aHR0cDovL2tnYy5rbm93bGVkZ2UtZ3JhcGguanAvZGF0YS9BQ2FzZU9mSWRlbnRpdHkvV2F0c29uPiA8aHR0cDovL2tnYy5rbm93bGVkZ2UtZ3JhcGguanAvZGF0YS9wcmVkaWNhdGUvbm90QmVJblRpbWU-IDxodHRwOi8va2djLmtub3dsZWRnZS1ncmFwaC5qcC9kYXRhL0FDYXNlT2ZJZGVudGl0eS9Tb2x1dGlvbj4-Pg==>	<http://kgc.knowledge-graph.jp/ontology/kgc.owl#infoSource>	<http://kgc.knowledge-graph.jp/data/ACaseOfIdentity/Watson_s_thoughts>
<urn:rdf4j:triple:PDw8aHR0cDovL2tnYy5rbm93bGVkZ2UtZ3JhcGguanAvZGF0YS9BQ2FzZU9mSWRlbnRpdHkvdGhvdWdodF9vZl9TdXRoZXJsYW5kPiA8aHR0cDovL2tnYy5rbm93bGVkZ2UtZ3JhcGguanAvZGF0YS9wcmVkaWNhdGUvaW5jcmVhc2U-IDxodHRwOi8vd3d3LnczLm9yZy8yMDAyLzA3L293bCNOb3RoaW5nPj4->	<http://kgc.knowledge-graph.jp/ontology/kgc.owl#infoSource>	<http://kgc.knowledge-graph.jp/data/ACaseOfIdentity/Holmes>
<urn:rdf4j:triple:PDw8aHR0cDovL2tnYy5rbm93bGVkZ2UtZ3JhcGguanAvZGF0YS9BYmJleUdyYW5nZS9MYWR5X0JyYWNrZW5zdGFsbD4gPGh0dHA6Ly9rZ2Mua25vd2xlZGdlLWdyYXBoLmpwL2RhdGEvcHJlZGljYXRlL3NlZT4gPDw8aHR0cDovL2tnYy5rbm93bGVkZ2UtZ3JhcGguanAvZGF0YS9BYmJleUdyYW5nZS9DcmltaW5hbD4gPGh0dHA6Ly9rZ2Mua25vd2xlZGdlLWdyYXBoLmpwL2RhdGEvcHJlZGljYXRlL2RyaW5rPiA8aHR0cDovL2tnYy5rbm93bGVkZ2UtZ3JhcGguanAvZGF0YS9BYmJleUdyYW5nZS93aW5lPj4-Pj4=>	<http://kgc.knowledge-graph.jp/ontology/kgc.owl#type>	<http://kgc.knowledge-graph.jp/ontology/kgc.owl#Situation>
<urn:rdf4j:triple:PDw8aHR0cDovL2tnYy5rbm93bGVkZ2UtZ3JhcGguanAvZGF0YS9BYmJleUdyYW5nZS9FeWVzX29mX0hvbG1lcz4gPGh0dHA6Ly9rZ2Mua25vd2xlZGdlLWdyYXBoLmpwL2RhdGEvcHJlZGljYXRlL3JlcHJlc2VudD4gPGh0dHA6Ly9rZ2Mua25vd2xlZGdlLWdyYXBoLmpwL2RhdGEvQWJiZXlHcmFuZ2UvYW5ncnk-Pj4=>	<http://kgc.knowledge-graph.jp/ontology/kgc.owl#type>	<http://kgc.knowledge-graph.jp/ontology/kgc.owl#Thought>
<urn:rdf4j:triple:PDw8aHR0cDovL2tnYy5rbm93bGVkZ2UtZ3JhcGguanAvZGF0YS9SZXNpZGVudFBhdGllbnQvTWFqb3JfZXZlbnRfb2ZfV29ydGhpbmdkb25fYmFuaz4gPGh0dHA6Ly9rZ2Mua25vd2xlZGdlLWdyYXBoLmpwL2RhdGEvcHJlZGljYXRlL2hhcHBlbj4gPGh0dHA6Ly93d3cudzMub3JnLzIwMDIvMDcvb3dsI05vdGhpbmc-Pj4=>	<http://kgc.knowledge-graph.jp/ontology/kgc.owl#when>	<http://kgc.knowledge-graph.jp/data/ResidentPatient/1875-01-01>
<http://kgc.knowledge-graph.jp/data/DevilsFoot/Standale>	<http://kgc.knowledge-graph.jp/data/predicate/cannotMarry>	<http://kgc.knowledge-graph.jp/data/DevilsFoot/marriage>
<http://kgc.knowledge-graph.jp/data/DevilsFoot/Owen_AND_control_of_George>	<http://kgc.knowledge-graph.jp/ontology/kgc.owl#ofWhole>	<http://kgc.knowledge-graph.jp/data/DevilsFoot/George>
<urn:rdf4j:triple:PDw8aHR0cDovL2tnYy5rbm93bGVkZ2UtZ3JhcGguanAvZGF0YS9TcGVja2xlZEJhbmQvSGVsZW4-IDxodHRwOi8va2djLmtub3dsZWRnZS1ncmFwaC5qcC9kYXRhL3ByZWRpY2F0ZS9oZWFyPiA8aHR0cDovL2tnYy5rbm93bGVkZ2UtZ3JhcGguanAvZGF0YS9TcGVja2xlZEJhbmQvd2hpc3RsZT4-Pg==>	<http://kgc.knowledge-graph.jp/ontology/kgc.owl#when>	<http://kgc.knowledge-graph.jp/data/SpeckledBand/death_day_of_Julia>
<urn:rdf4j:triple:PDw8aHR0cDovL2tnYy5rbm93bGVkZ2UtZ3JhcGguanAvZGF0YS9TaWx2ZXJCbGF6ZS9TaWx2ZXJfQmxhemU-IDxodHRwOi8va2djLmtub3dsZWRnZS1ncmFwaC5qcC9kYXRhL3ByZWRpY2F0ZS9oYXZlPiA8aHR0cDovL2tnYy5rbm93bGVkZ2UtZ3JhcGguanAvZGF0YS9TaWx2ZXJCbGF6ZS9Hb29kX3JlY29yZD4-Pg==>	<http://kgc.knowledge-graph.jp/ontology/kgc.owl#at_the_same_time>	<urn:rdf4j:triple:PDw8aHR0cDovL2tnYy5rbm93bGVkZ2UtZ3JhcGguanAvZGF0YS9TaWx2ZXJCbGF6ZS9TaWx2ZXJfQmxhemU-IDxodHRwOi8va2djLmtub3dsZWRnZS1ncmFwaC5qcC9kYXRhL3ByZWRpY2F0ZS9maXZlX3llYXJzX29sZD4gPGh0dHA6Ly93d3cudzMub3JnLzIwMDIvMDcvb3dsI05vdGhpbmc-Pj4=>
<http://kgc.knowledge-graph.jp/data/ResidentPatient/Cigar>	<http://kgc.knowledge-graph.jp/data/predicate/Banana_flavored>	<http://www.w3.org/2002/07/owl#Nothing>
<http://kgc.knowledge-graph.jp/data/ACaseOfIdentity/Windybank>	<http://kgc.knowledge-graph.jp/data/predicate/chaseAway>	<http://kgc.knowledge-graph.jp/data/ACaseOfIdentity/others>
<urn:rdf4j:triple:PDw8aHR0cDovL2tnYy5rbm93bGVkZ2UtZ3JhcGguanAvZGF0YS9Dcm9va2VkTWFuL0hlbnJ5PiA8aHR0cDovL2tnYy5rbm93bGVkZ2UtZ3JhcGguanAvZGF0YS9wcmVkaWNhdGUvcHV0T3V0PiA8aHR0cDovL2tnYy5rbm93bGVkZ2UtZ3JhcGguanAvZGF0YS9Dcm9va2VkTWFuL2JlYXN0Pj4->	<http://kgc.knowledge-graph.jp/ontology/kgc.owl#from>	<http://kgc.knowledge-graph.jp/data/CrookedMan/cage>
<urn:rdf4j:triple:PDw8aHR0cDovL2tnYy5rbm93bGVkZ2UtZ3JhcGguanAvZGF0YS9SZXNpZGVudFBhdGllbnQvUGVyY3lfVHJldmVseWFuPiA8aHR0cDovL2tnYy5rbm93bGVkZ2UtZ3JhcGguanAvZGF0YS9wcmVkaWNhdGUvc2F5PiA8PDxodHRwOi8va2djLmtub3dsZWRnZS1ncmFwaC5qcC9kYXRhL1Jlc2lkZW50UGF0aWVudC9QZXJjeV9UcmV2ZWx5YW4-IDxodHRwOi8va2djLmtub3dsZWRnZS1ncmFwaC5qcC9kYXRhL3ByZWRpY2F0ZS9jb21lVG9Db25zdWx0PiA8aHR0cDovL2tnYy5rbm93bGVkZ2UtZ3JhcGguanAvZGF0YS9SZXNpZGVudFBhdGllbnQvaW5jaWRlbnQ-Pj4-Pg==>	<http://kgc.knowledge-graph.jp/ontology/kgc.owl#then>	<urn:rdf4j:triple:PDw8aHR0cDovL2tnYy5rbm93bGVkZ2UtZ3JhcGguanAvZGF0YS9SZXNpZGVudFBhdGllbnQvUGVyY3lfVHJldmVseWFuPiA8aHR0cDovL2tnYy5rbm93bGVkZ2UtZ3JhcGguanAvZGF0YS9wcmVkaWNhdGUvc2F5PiA8PDxodHRwOi8va2djLmtub3dsZWRnZS1ncmFwaC5qcC9kYXRhL1Jlc2lkZW50UGF0aWVudC9CbGVzc2luZ3Rvbj4gPGh0dHA6Ly9rZ2Mua25vd2xlZGdlLWdyYXBoLmpwL2RhdGEvcHJlZGljYXRlL3J1bGU-IDw8PGh0dHA6Ly9rZ2Mua25vd2xlZGdlLWdyYXBoLmpwL2RhdGEvUmVzaWRlbnRQYXRpZW50L0JsZXNzaW5ndG9uPiA8aHR0cDovL2tnYy5rbm93bGVkZ2UtZ3JhcGguanAvZGF0YS9wcmVkaWNhdGUvZ28-IDxodHRwOi8va2djLmtub3dsZWRnZS1ncmFwaC5qcC9kYXRhL1Jlc2lkZW50UGF0aWVudC9FeGFtaW5hdGlvbl9yb29tPj4-Pj4-Pg==>
<urn:rdf4j:triple:PDw8aHR0cDovL2tnYy5rbm93bGVkZ2UtZ3JhcGguanAvZGF0YS9TaWx2ZXJCbGF6ZS90d29feW91bmdfbWVuPiA8aHR0cDovL2tnYy5rbm93bGVkZ2UtZ3JhcGguanAvZGF0YS9wcmVkaWNhdGUvbm9ybWFsPiA8aHR0cDovL3d3dy53My5vcmcvMjAwMi8wNy9vd2wjTm90aGluZz4-Pg==>	<http://kgc.knowledge-graph.jp/ontology/kgc.owl#type>	<http://kgc.knowledge-graph.jp/ontology/kgc.owl#Situation>
<urn:rdf4j:triple:PDw8aHR0cDovL2tnYy5rbm93bGVkZ2UtZ3JhcGguanAvZGF0YS9EZXZpbHNGb290L01vcnRpbWVyPiA8aHR0cDovL2tnYy5rbm93bGVkZ2UtZ3JhcGguanAvZGF0YS9wcmVkaWNhdGUvZmVlbD4gPGh0dHA6Ly9rZ2Mua25vd2xlZGdlLWdyYXBoLmpwL2RhdGEvRGV2aWxzRm9vdC9TZW5zZV9vZl9ndWlsdD4-Pg==>	<http://kgc.knowledge-graph.jp/ontology/kgc.owl#infoSource>	<http://kgc.knowledge-graph.jp/data/DevilsFoot/statement_of_Holmes>
<http://kgc.knowledge-graph.jp/data/DancingMen/Martin>	<http://kgc.knowledge-graph.jp/data/predicate/belongTo>	<http://kgc.knowledge-graph.jp/data/DancingMen/police>
<http://kgc.knowledge-graph.jp/data/ACaseOfIdentity/Watson>	<http://kgc.knowledge-graph.jp/data/predicate/getClose>	<http://kgc.knowledge-graph.jp/data/ACaseOfIdentity/Moth>
<http://kgc.knowledge-graph.jp/data/ACaseOfIdentity/Sutherland>	<http://kgc.knowledge-graph.jp/data/predicate/notForget>	<http://kgc.knowledge-graph.jp/data/ACaseOfIdentity/advice_of_Holmes>
<urn:rdf4j:triple:PDw8aHR0cDovL2tnYy5rbm93bGVkZ2UtZ3JhcGguanAvZGF0YS9EYW5jaW5nTWVuL0RhbmNpbmdfZG9sbHNfWD4gPGh0dHA6Ly9rZ2Mua25vd2xlZGdlLWdyYXBoLmpwL2RhdGEvcHJlZGljYXRlL2VxdWFsVG8-IDxodHRwOi8va2djLmtub3dsZWRnZS1ncmFwaC5qcC9kYXRhL0RhbmNpbmdNZW4vRUxTSUU-Pj4=>	<http://kgc.knowledge-graph.jp/ontology/kgc.owl#infoSource>	<http://kgc.knowledge-graph.jp/data/DancingMen/Holmes>
<urn:rdf4j:triple:PDw8aHR0cDovL2tnYy5rbm93bGVkZ2UtZ3JhcGguanAvZGF0YS9TcGVja2xlZEJhbmQvUm9tYT4gPGh0dHA6Ly9rZ2Mua25vd2xlZGdlLWdyYXBoLmpwL2RhdGEvcHJlZGljYXRlL2VxdWFsVG8-IDxodHRwOi8va2djLmtub3dsZWRnZS1ncmFwaC5qcC9kYXRhL1NwZWNrbGVkQmFuZC9mcmllbmRfb2ZfUm95bG90dD4-Pg==>	<http://kgc.knowledge-graph.jp/ontology/kgc.owl#type>	<http://kgc.knowledge-graph.jp/ontology/kgc.owl#Situation>
<urn:rdf4j:triple:PDw8aHR0cDovL2tnYy5rbm93bGVkZ2UtZ3JhcGguanAvZGF0YS9BQ2FzZU9mSWRlbnRpdHkvTmVkPiA8aHR0cDovL2tnYy5rbm93bGVkZ2UtZ3JhcGguanAvZGF0YS9wcmVkaWNhdGUvZXhpc3Q-IDxodHRwOi8va2djLmtub3dsZWRnZS1ncmFwaC5qcC9kYXRhL0FDYXNlT2ZJZGVudGl0eS9BdWNrbGFuZD4-Pg==>	<http://kgc.knowledge-graph.jp/ontology/kgc.owl#type>	<http://kgc.knowledge-graph.jp/ontology/kgc.owl#Statement>
<http://kgc.knowledge-graph.jp/data/DevilsFoot/Five_minutes_later_of_death_of_Mortimer>	<http://kgc.knowledge-graph.jp/ontology/kgc.owl#ofWhole>	<http://kgc.knowledge-graph.jp/data/DevilsFoot/Mortimer>
<urn:rdf4j:triple:PDw8aHR0cDovL2tnYy5rbm93bGVkZ2UtZ3JhcGguanAvZGF0YS9Dcm9va2VkTWFuL01vcnJpc29uPiA8aHR0cDovL2tnYy5rbm93bGVkZ2UtZ3JhcGguanAvZGF0YS9wcmVkaWNhdGUvZXhpc3Q-IDxodHRwOi8vd3d3LnczLm9yZy8yMDAyLzA3L293bCNOb3RoaW5nPj4->	<http://kgc.knowledge-graph.jp/ontology/kgc.owl#how>	<http://kgc.knowledge-graph.jp/data/CrookedMan/together>
<urn:rdf4j:triple:PDw8aHR0cDovL3d3dy53My5vcmcvMjAwMi8wNy9vd2wjTm90aGluZz4gPGh0dHA6Ly9rZ2Mua25vd2xlZGdlLWdyYXBoLmpwL2RhdGEvcHJlZGljYXRlL3NvbHZlPiA8aHR0cDovL2tnYy5rbm93bGVkZ2UtZ3JhcGguanAvZGF0YS9BQ2FzZU9mSWRlbnRpdHkvbWlzc2luZ19vZl9Ib3ptYT4-Pg==>	<http://kgc.knowledge-graph.jp/ontology/kgc.owl#type>	<http://kgc.knowledge-graph.jp/ontology/kgc.owl#Statement>
<http://kgc.knowledge-graph.jp/data/SpeckledBand/floor_of_bedroom_of_Julia>	<http://kgc.knowledge-graph.jp/ontology/kgc.owl#partOf>	<http://kgc.knowledge-graph.jp/data/SpeckledBand/floor>
<urn:rdf4j:triple:PDw8aHR0cDovL2tnYy5rbm93bGVkZ2UtZ3JhcGguanAvZGF0YS9EZXZpbHNGb290L0hvdXNlX29mX1RyaWdlbmlzPiA8aHR0cDovL2tnYy5rbm93bGVkZ2UtZ3JhcGguanAvZGF0YS9wcmVkaWNhdGUvZmFyPiA8aHR0cDovL2tnYy5rbm93bGVkZ2UtZ3JhcGguanAvZGF0YS9EZXZpbHNGb290L2NvdHRhZ2Vfb2ZfUG9yZGV1eF9CYXk-Pj4=>	<http://kgc.knowledge-graph.jp/ontology/kgc.owl#how>	<http://kgc.knowledge-graph.jp/data/DevilsFoot/1_mile>
